기준_년분기_코드,상권_구분_코드,상권_코드,상권_코드_명,총_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,상권_변화_지표
20212,A,3110234,중랑역 4번,781,69,182,172,121,116,121,376986,33756,64803,60958,54495,66618,96354,84009,72626,45290,48420,76169,50471,52534,51782,53052,51940,52295,57482,57902,972085130,63040,658241645,313843485,127832029,114643481,125118295,136827358,153820482,154674329,159169156,70484458,87110135,216770023,96635295,345392483,155692736,592512509,339448094,386813,128339238,210824900,191064694,233400316,167944643,HH
20212,A,3110236,신묵초등학교,8221,1055,1175,1408,1243,1373,1967,1968861,271123,243752,314795,294198,331450,513544,582446,395919,205526,203303,305236,276432,278586,279393,282045,277518,275069,288195,288054,1043208381,43369,761647998,281560383,134084985,153099108,170312365,140138430,164013110,190647153,90913230,13350920,8439118,312475677,110340320,419333804,179268542,602098259,382683558,2752258,92679620,213504446,233300662,258385971,184158858,LL
20212,A,3110237,메가박스 상봉,4316,432,649,573,631,857,1174,1202482,136194,174703,173025,185538,220784,312237,306529,234793,140003,143259,213961,163937,169871,171650,172963,171605,167860,173782,174751,3055530649,105483,1936910763,1118619886,314847842,372400340,405743888,387993369,455925324,572919730,545700156,4498754,33339119,675352846,448621143,1341172920,552545867,1836148924,1037086807,16147683,326995888,530212068,655438328,762264512,582177243,LL
20212,A,3110238,배꽃어린이공원,1506,161,239,259,211,239,397,173657,18014,23188,28125,25108,29230,49992,54265,35817,17099,16758,25389,24329,24408,24410,24545,23991,24069,25761,26474,58886479,2846,53771250,5115229,11373279,8808680,11328270,9331938,12929083,5115229,0,0,1670751,36471741,8725252,11861679,157056,38849884,14138504,0,1519077,5323415,8567630,17378405,20199862,LL
20212,A,3110239,중랑역 2번,269,22,33,30,43,56,85,169345,13992,24225,23368,23670,31234,52856,45020,34206,18169,18587,30152,23210,23713,23563,23729,23538,23364,25505,25932,517217443,17188,343100230,174117213,62946831,59575993,71214696,66084521,83278189,93573500,80543713,443319,11215391,15721829,45728485,314470606,129637813,313463071,198998584,14680613,111781997,103149358,102055652,121746327,59047708,HL
20212,A,3110240,태릉시장 특화거리,1282,100,203,158,160,259,402,601763,71785,71699,75291,82237,112374,188377,150683,119265,71336,74314,109296,76871,84063,83422,83105,83087,83218,90888,93981,1049879076,36880,676685108,373193968,104075903,145578082,138331930,135034584,153664609,214216819,158977149,11524889,6266128,102207598,94468968,509583306,325828187,669746635,345890365,7234961,144019968,170514023,212846566,277022137,203999341,HH
20212,A,3110241,먹골역 5번,3184,289,464,533,438,589,871,1235909,161323,156025,201197,184649,208324,324392,307824,241943,147133,151176,219548,168283,177047,176429,177460,175785,176015,177629,175543,1204328615,48286,813453954,390874661,131078801,168478673,160464962,149006576,204424942,212327039,178547622,6439714,16172605,268816700,155709402,548655048,208535146,708273574,472606965,4654098,118945081,197426543,277321859,315445193,267087763,LL
20212,A,3110242,면목5동주민센터,4233,516,543,614,610,801,1149,833077,118736,93246,131068,133844,139313,216868,252614,175140,84164,82132,124367,114660,116662,116879,116821,115180,113635,125107,128794,280416726,15684,202238946,78177780,43136465,35509621,44970161,33997607,44625092,58895002,19282778,780749,1468967,46156396,34961065,139625121,57424428,174296940,84817785,467729,25656470,46337005,60285978,80103396,46264149,LH
20212,A,3110243,중랑노인종합복지관,4607,608,645,515,706,943,1190,1347264,223021,156254,172864,203918,243057,348148,387079,273676,147225,146574,210629,182081,190950,190039,190649,190164,188884,197028,199550,1954654750,77961,1333730842,620923908,230452955,261483604,275437922,259928691,306427670,352595945,268327963,5505922,85983170,366074057,213886718,878845131,404359752,1133493548,633747787,3185193,127117600,272860098,414069567,531943192,418065683,HL
20212,A,3110244,중화역 4번,1764,168,286,253,244,335,478,941267,139966,119243,133437,131131,164412,253079,182797,182518,120606,130677,199330,125340,136698,135397,135145,134233,135927,132943,130925,2193585151,76483,1488643985,704941166,272382891,259444177,316173041,299664981,340978895,362088683,342852483,11964934,14923786,312647784,242658257,1091725437,519664953,1235556942,856271209,27690609,274357440,389705014,473417446,497535948,429121684,HL
